prompt,label
Add a journal about their recent vacation.,0
Search the stories for the last travel.,4
Search our contacts for Laura Jamesson.,2
Who is Michael Doe in our contacts?,2
I need to note that I finished their task today.,0
What are the details of our last meeting?,1
Add a entry about a recent vacation.,0
Who is Daniel Doe in their contacts?,2
Who is James Doe in their contacts?,2
Who is David Doe in our contacts?,2
I need to note that I finished a duty today.,0
Search a contacts for Anna Michaelson.,2
Who is Robert Doe in this contacts?,2
Add a note about a recent vacation.,0
I need to note that I finished this assignment today.,0
Who is Robert Doe in our contacts?,2
Add a note about the time I visited Miami.,0
Add a memo about the time I visited Houston.,0
I need to note that I finished the job today.,0
I need to note that I finished their job today.,0
Who is David Doe in a contacts?,2
What are the details of this last meeting?,1
I need to note that I finished their assignment today.,0
Search a stories for a last holiday.,4
Add a memo about the time I visited Los Angeles.,0
Search this stories for this last travel.,4
Search a stories for a last travel.,4
I need to note that I finished this work today.,0
Search the contacts for Sophia Michaelson.,2
Add a record about the time I visited Houston.,0
Search a stories for a last vacation.,4
Who is Michael Doe in a contacts?,2
Search our stories for our last journey.,4
I need to note that I finished this job today.,0
Tell the app that I had feast with Anna.,0
I need to note that I finished this task today.,0
Search this stories for this last journey.,4
Add a record about the time I visited Chicago.,0
I need to note that I finished the assignment today.,0
Search our contacts for Laura Danielson.,2
Search the contacts for Emma Jamesson.,2
Add a journal about the recent vacation.,0
Add a record about the time I visited Seattle.,0
I need to note that I finished their work today.,0
Search a contacts for Laura Davidson.,2
I need to note that I finished the duty today.,0
Who is James Doe in our contacts?,2
Search the contacts for Olivia Jamesson.,2
Search a contacts for Anna Jamesson.,2
Add a memo about their recent vacation.,0
Add a memo about this recent vacation.,0
Add a entry about our recent vacation.,0
Add a note about the time I visited Houston.,0
Search this contacts for Emma Davidson.,2
Search our contacts for Anna Robertson.,2
Add a journal about this recent vacation.,0
Search this contacts for Emma Robertson.,2
Search the contacts for Anna Danielson.,2
Search their contacts for Olivia Danielson.,2
Add a note about their recent vacation.,0
Search the contacts for Laura Davidson.,2
Who is Daniel Doe in a contacts?,2
Search our contacts for Olivia Jamesson.,2
Search their stories for their last holiday.,4
Search a contacts for Emma Jamesson.,2
Search their contacts for Laura Davidson.,2
Search their contacts for Laura Jamesson.,2
Search our contacts for Anna Davidson.,2
Search a contacts for Laura Robertson.,2
Add a record about this recent vacation.,0
Search their contacts for Olivia Davidson.,2
Add a record about the time I visited Los Angeles.,0
Search this contacts for Sophia Michaelson.,2
Search their stories for their last adventure.,4
Add a note about the time I visited Los Angeles.,0
Search this contacts for Anna Michaelson.,2
I need to note that I finished our work today.,0
I need to note that I finished the task today.,0
Search the contacts for Olivia Danielson.,2
Add a entry about the time I visited Los Angeles.,0
Search their contacts for Sophia Davidson.,2
Add a entry about this recent vacation.,0
I need to note that I finished our assignment today.,0
Search a contacts for Anna Robertson.,2
Search a contacts for Laura Danielson.,2
Search our contacts for Sophia Danielson.,2
Who is Robert Doe in their contacts?,2
Search their contacts for Laura Danielson.,2
Add a memo about the recent vacation.,0
Search our contacts for Olivia Michaelson.,2
Search their contacts for Sophia Jamesson.,2
Search this contacts for Laura Michaelson.,2
Search the contacts for Olivia Robertson.,2
Who is Michael Doe in the contacts?,2
Search this contacts for Laura Jamesson.,2
I need to note that I finished a assignment today.,0
Add a memo about the time I visited Miami.,0
Search our contacts for Emma Davidson.,2
Search this stories for this last vacation.,4
Add a record about the time I visited Miami.,0
Search a contacts for Anna Davidson.,2
Search our contacts for Sophia Michaelson.,2
Who is James Doe in a contacts?,2
Search the contacts for Sophia Davidson.,2
Search this contacts for Olivia Davidson.,2
Add a journal about our recent vacation.,0
Search their contacts for Emma Davidson.,2
Search our contacts for Sophia Robertson.,2
Search our contacts for Anna Jamesson.,2
Search a contacts for Olivia Michaelson.,2
Search the contacts for Emma Robertson.,2
Search our contacts for Laura Michaelson.,2
Search our contacts for Emma Danielson.,2
Search a contacts for Olivia Robertson.,2
Search their contacts for Anna Michaelson.,2
Search this contacts for Sophia Danielson.,2
Search this contacts for Emma Jamesson.,2
Search our contacts for Sophia Davidson.,2
Search this contacts for Olivia Michaelson.,2
Search their contacts for Olivia Michaelson.,2
Search this contacts for Olivia Jamesson.,2
Search the contacts for Emma Danielson.,2
Search our contacts for Anna Michaelson.,2
Search the contacts for Laura Jamesson.,2
Search their contacts for Laura Robertson.,2
Search a contacts for Sophia Davidson.,2
Search a contacts for Olivia Davidson.,2
Search the contacts for Laura Danielson.,2
Search the contacts for Laura Michaelson.,2
Search our contacts for Olivia Danielson.,2
Search our contacts for Emma Robertson.,2
Search the contacts for Sophia Danielson.,2
Search a contacts for Sophia Robertson.,2
Search a contacts for Laura Michaelson.,2
Search the contacts for Emma Davidson.,2
Search the contacts for Anna Jamesson.,2
Search our contacts for Sophia Jamesson.,2
Search this contacts for Sophia Davidson.,2
Search their contacts for Anna Davidson.,2
Search our contacts for Laura Davidson.,2
Search this contacts for Anna Davidson.,2
Search their contacts for Emma Robertson.,2
Search our contacts for Olivia Robertson.,2
Search their contacts for Anna Jamesson.,2
Search their contacts for Anna Danielson.,2
Search a contacts for Emma Robertson.,2
Search this contacts for Laura Robertson.,2
Search this contacts for Olivia Robertson.,2
Search their contacts for Laura Michaelson.,2
Search their contacts for Sophia Michaelson.,2
Search our contacts for Anna Danielson.,2
Search a contacts for Emma Danielson.,2
Search a contacts for Emma Davidson.,2
Search this contacts for Laura Danielson.,2
Search our contacts for Emma Jamesson.,2
Search this contacts for Emma Danielson.,2
Search the contacts for Sophia Jamesson.,2
Search this contacts for Anna Danielson.,2
Search the contacts for Sophia Robertson.,2
Search their contacts for Sophia Danielson.,2
Search the contacts for Olivia Michaelson.,2
Search this contacts for Sophia Robertson.,2
Who is James Doe in my contacts?,2
Find Mike in my contacts.,2
Do I have a contact named Carlos?,2
Search my contacts for Sarah Jamesson.,2
Who is the person listed as 'boss'?,2
Find the story about when I got a new job.,4
Search my stories about family events.,4
Show me the stories where I mentioned college.,4
Search for stories from last summer.,4
Search my stories for my last trip.,4
Add a story about the time I visited New York.,0
Add a story about my recent vacation.,0
I need to note that I finished my project today.,0
Tell the app that I had dinner with Anna.,0
I just met with my old friend Mark.,0
Can you remind me of my next appointment?,1
How do I get to the nearest gas station?,1
Can you tell me more about this restaurant?,1
What is the weather like today?,1
What are the details of my last meeting?,1
Show me contacts named Nikki or Nicole.,2
What are key details about Andy Roberts?,1
Who do I know that plays golf?,1
show me Katherine Williams contact info,2
Where does Brandon Mueller work?,1
"What stories have I recorded in Burlingame, California?",4
What stories have I recorded from Greece?,4
"Okay, this morning I met with Nikki Christensen.",0
Tell me about who are my colleagues at Sufiza.,1
this is interesting,0
Show me stories about Bill Wolfe.,4
Show me Bill Wolf's contact information.,2
"Ok, i finished this",0
Can you summarize everything I've learned from Not Boring Newsletter?,1
I completed this task,0
Show me recent stories about Nick Jordan.,4
Who is a dealer of it?,1
Tell me about Blaine Simmons.,1
What is Bill Wolfe's contact info?,2
"Who has IT firms in Dubai, Mumbai, and Manila? Who has IT firms in Dubai, Mumbai, and Manila?",1
What did Ashwin recommend that I go for vacation?,1
Who did I meet on the Danube River cruise?,1
Who do I know in my network that does user interface design?,1
who was in the narrative IO meeting I participated in today.,1
who attended the narrative.io meeting I was in today.,1
"Huzoor, Karnal is working on the issue identification of cargo air. Contact search feature has been validated. And other features of validation is in progress.",0
Transcribed by https://otter.ai,0
"Tell me about Arslan Delbert, Salman Akram, and Adil Abed.",1
Where do Nick and Paro live?,1
Tell me about JJ Group.,1
Thank you for watching!,0
Where did Michael Dean just take a job?,1
What do I need to talk to Bill Wolfe about when I meet with him today?,1
What do I need to talk to Bill Wolf about today?,1
"Al’s gun shop in Derry NH. Greg Testa said tell him you know Ron, probably from the Westwood gun club. Good shop.",0
"Can you write an introduction to Nick Jordan and Carlos Cashman, introducing them to talk about Narrative.io?",1
Give me some good quotes.,1
Who did I meet with today in the narrative.io board meeting?,1
Who did I meet with today in the,1
Who attended the narrative.io board meeting that I participated in today?,1
What story did I share about August 10?,4
Show me contacts I have named Sam.,2
Show me contact information for Sam McAloo.,2
What is Dave Aldridge's contact information?,2
Thank you for watching my video.,0
Tell me about user stories where contact name is not available.,1
For user alpha who is working on alpha testing and we will share results after this.,1
"This group are Augustin, Ablomir, Ryan and CKB.",0
Who is right of your seat?,1
Who do I know in New York?,1
What did Orrin Hoffman say I should do to make a good pitch to a venture capitalist or a VC?,1
What is Nicole Christensen's contact information?,2
What is Alka Bandeep's contact information?,2
What did I talk about with Jon Hsu?,1
Tell me about Alpha users.,1
Who is sales executive I met in New York?,1
"I attended the AI and Machine Learning Symposium in Toronto, where Sarah Thompson and Michael Brown were also present. Michael Brown mentioned that he is in need of a data scientist, while Sarah Thompson introduced us to Kevin, a data scientist with expertise in developing machine learning algorithms",0
"I attended the AI and Machine Learning Symposium in Toronto, where Sarah Thompson and Michael Brown were also present. Michael Brown mentioned that he is in need of a data scientist. Well, Sarah Thompson introduced us to Kevin, a data scientist with expertise in developing machine learning algorithms for AI applications.",0
who is software engineer and my content list,1
Tell me software engineers I know.,1
"I attended the AI Machine Learning Symposium in Toronto where Sir Thompson and Michael Brown were also present. Michael Brown mentioned that he is in need of a data scientist, while Sir Thompson introduced us to Kevin, a data scientist with expertise in developing machine learning algorithms for AI applications.",1
What are Suzanne Dumont's preferred pronouns?,1
Who do I know that works at Microsoft?,1
What is contact information for Dave Aldridge?,2
What do I know about Suzanne Dumont?,1
The license plate on my Porsche Taycan is EV8260,0
Do I have a Twitter contact information for Ali Barhoomi?,2
What is Ali Barhoumi's email address?,1
Who do I know that works at Amazon Google or Microsoft?,1
Who did I meet with in Greece?,1
Tell me about software engineer,1
"Who owns IT firms in Mumbai, Dubai and U.K.?",1
Whom I met in san Francisco,1
Who is marketing strategist I met in Tech summit,1
Who is marketing strategist,1
Who is business development manager,1
What happened at fintech expo,1
"Also, think about what salary you want to give a person who hasn't conquered the Worlds yet. Consider that. Bye",0
"I recently had a meeting with Maria Hassan, the graphic designer, to discuss a new project. Ehsan Waris, my colleague from the same company, joined us to provide technical insights",0
"During the Cybersecurity Summit in Sydney, I attended the Cybersecurity Summit in Sydney where Olivia Harris and Ethan Lee were also present. Ethan Lee mentioned that he is in need of a Cybersecurity Analyst, while Olivia Harris introduced us to Liam, a Cybersecurity Analyst with expertise in threat detection and response.",0
and meeting a cyber security analyst at the summit. Two.,0
"At the Robotics Symposium in Tokyo, I attended the Robotics Symposium in Tokyo, where Hiroshi Nakamura and Akira Suzuki were also present. Akira Suzuki mentioned that he is seeking a robotics engineer, while Hiroshi Nakamura introduced us to Maya, a robotics engineer with experience in advanced automation systems.",0
"At the Robotics Symposium in Tokyo, I attended the Robotics Symposium in Tokyo, where Hiroshi Nakamura and Akira Suzuki were also present. Akira Suzuki mentioned that he is seeking a robotics engineer, while Hiroshi Nakamura introduced us to Maya, a robotics engineer with experience in advanced automation systems. I attended the AI and Machine Learning Symposium in Toronto, where Sarah Thompson and Michael Brown were also present. Michael Brown mentioned that he is in need of a data scientist, while Sarah Thompson introduced us to Kevin, a data scientist with expertise in developing machine learning algorithms",0
cando la imagen mi hijo es justo el oro,0
Who is huda noor,1
"Create a sample story to test duplicate functionality. Testing is being performed by Zollo. Create a sample story to test duplicate functionality. When a new story is created, the new story will merge with the first story, resulting in the system recording only one story creation. Another story was also added by Zolo.",1
Imran Malik is a music teacher I met last week,0
"I met Bobby Simpson in Dubai. He introduced me to Zakir Ali, who is starting a new business to cater to IT needs in South Asia.",0
"At the Tech Summit in San Francisco, I attended a Tech Summit in San Francisco where Alex Johnson and Maria Lopez were also present. Alex Johnson mentioned that he is on the lookout for a marketing strategist, while Maria Lopez introduced us to Jordan, a marketing strategist with a background in leading tech startups.",0
summarize my relationship with Andy Roberts,1
"Lisa Carter, an environmental advocate, met David Minion, a music teacher, at a park event. They decided to work together for Earth Day. David's students sang songs about nature, and Lisa gave talks on how to protect the environment. The event was a big success, inspiring the community to care for nature. Lisa and David continued to collaborate, using music and education to make a positive impact on their community.",0
Create a sample story to test duplicate functionality. Testing is being performed by Zollo.,0
"Piaga (mom’s sister - actually half sister) has two kids, Carlos and Paloma. They’re about my age, maybe a bit younger.",0
Who do I know looking for jobs?,1
Testing,0
"I met with Sarah Johnson and Sarah Taylor to explore new growth opportunities for Sarah's e-commerce business. Sarah Johnson expressed her ambitions for expanding her product range, and Sarah Taylor, leveraging her industry experience, suggested targeted market research. I offered ideas on leveraging social media influencers, which led to a well-rounded strategy for increasing brand awareness and engagement.",0
"I met with Sarah Johnson and Sarah Taylor to review the progress of Sarah's new online store. Sarah Johnson shared her excitement about recent developments, while Sarah Taylor, with her 10 years of experience, highlighted key areas for improvement. I contributed my perspective on customer feedback and analytics, leading to a productive discussion on enhancing the user experience and boosting sales.",0
I had a dinner with Faheem where he discussed main food options in Lahore,1
In another meeting Shahab also discussed food options in Lahore specially during lunch time,0
Story 1 by zkb for empty strings,0
Story 2 by zkb and Shahab for empty strings,0
Who do I know in nyc?,1
Who’s that guy in needham who built the golf software app,1
where does cyrus live?,1
I am testing build 39 and how ap treats my stories if I type. Sad and Ali are helping,0
Adding another story from recent sessions. Maria and Sarah moover are helping,0
"I met with Sara Johnson and Sara Taylor to review the progress of Sara's new online store. Sara Johnson shared her excitement about recent developments, while Sara Taylor, with her 10 years of experience, highlighted key areas for improvement. I contributed my perspective on customer feedback and analytics, leading to a productive discussion on enhancing the user experience and boosting sales.",0
"At the Robotics Symposium in Tokyo, I attended the Robotics Symposium in Tokyo where Hiroshi Nakamura and Akira Suzuki were also present. Akira Suzuki mentioned that he is seeking a robotics engineer, while Hiroshi Nakamura introduced us to Aya, a robotics engineer with experience in advanced automation systems.",0
Where was the robotics symposium held?,1
What did Akira Suzuki mention during the symposium?,1
"During a client presentation, Maria Hassan and I collaborated on the design elements, while Ehsan Waris contributed his expertise as a software engineer",0
"I met with Maria Hassan to brainstorm ideas for a new campaign, and Ehsan Waris attended to ensure the software integration would be seamless.",0
"I had a meeting on January 10, 2023, with our development team this morning, and I'm thrilled to share the progress we've made at Kennedy Jenkin, my health and wellness startup. We're on the brink of launching our innovative AI-powered app that goes beyond traditional health recommendations. It analyzes users' lifestyle data to offer personalized advice on diet, exercise, and mindfulness practices.
In our seed round, we successfully raised $1.2 million from angel investors, and now, we're gearing up to secure $3 million in Series A funding to expand our reach. Our app's standout feature is its ability to integrate data from various sources, including wearables, fitness trackers, and social media. This comprehensive data collection allows our proprietary algorithms to create highly tailored wellness plans that consider age, gender, medical history, and individual preferences.",0
"I attended a strategy session on April 15, 2023, with our marketing team today, focusing on the next steps for Kennedy Jenkin, my health and wellness startup. Our AI-powered app, which offers personalized lifestyle recommendations, is gaining traction in the market. We've designed it to analyze users' data and provide customized advice on diet, exercise, and mindfulness.
Having raised $1.2 million in our seed round, we're now setting our sights on securing $3 million in Series A funding. What sets our app apart is its ability to integrate data from wearables, fitness trackers, and social media, creating a holistic view of each user's health. Our proprietary algorithms then generate tailored wellness plans, considering factors such as age, gender, medical history, and personal preferences.",0
Food options in Lahore,0
Tell me about food options in Lahore. I had discussed with my friends.,1
"Lisa Carter, an environmental advocate, met David Nuyen, a music teacher, at a park event. They decided to work together for Earth Day. David’s students sang songs about nature, and Lisa gave talks on how to protect the environment. The event was a big success, inspiring the community to care for nature.",0
"I attended a strategy session on April 15, 2023, with our marketing team today, focusing on the next steps for Kennedy Jenkin, my health and wellness startup. Our AI-powered app, which offers personalized lifestyle recommendations, is gaining traction in the market. We've designed it to analyze users' data and provide customized advice on diet, exercise, and mindfulness.
Having raised $1.2 million in our seed round, we're now setting our sights on securing $3 million in Series A funding.",0
Maria Hassan is a graphic designer. We have collaborated on numerous projects for the past 3 years,0
who launched health tracking app?,1
"I had a meeting on January 10, 2023, with our development team this morning here Aleem and Alex were also present , and I'm thrilled to share the progress we've made at Kennedy Jenkin, my health and wellness startup. We're on the brink of launching our innovative AI-powered app that goes beyond traditional health recommendations. It analyzes users' lifestyle data to offer personalized advice on diet, exercise, and mindfulness practices.
In our seed round, we successfully raised $1.2 million from angel investors, and now, we're gearing up to secure $3 million in Series A funding to expand our reach. Our app's standout feature is its ability to integrate data from various sources, including wearables, fitness trackers, and social media. This comprehensive data collection allows our proprietary algorithms to create highly tailored wellness plans that consider age, gender, medical history, and individual preferences.",0
How much we raise in our seed funding for our start-up candy.,1
Tell me more about angel investors.,1
Who built Detox my life app,1
"Liam Johnson, an aspiring entrepreneur, found an invaluable ally in Sarah Lee, a seasoned marketing expert. Sarah’s innovative strategies and extensive network helped Liam's fledgling eco-friendly clothing brand gain visibility. She secured a $500,000 investment from a prominent green venture fund, propelling the business forward. Beyond business, Sarah supported Liam through the ups and downs of starting a new venture, always offering sound advice and a listening ear. Together, they organized sustainability workshops, inspiring others in their community to embrace eco-conscious living.",0
"David Brown, a healthcare innovator, partnered with Emily Clark, a renowned biochemist, to launch a groundbreaking biotech startup. Emily’s expertise and connections were instrumental in securing a $1 million grant for their research. Emily also helped David navigate the challenges of leading a startup, offering guidance and encouragement. Their mutual dedication to improving patient outcomes led them to volunteer at local clinics, providing free health screenings. Their combined efforts continue to push the boundaries of medical science and make a real difference in people's lives.",0
"Ethan Turner, a tech entrepreneur, joined forces with Maya Patel, a brilliant software developer. Maya’s coding skills and tech insights helped Ethan develop a revolutionary app that attracted $750,000 in seed funding. Maya’s unwavering support extended beyond the office; she was there for Ethan during his challenging move to a new city, easing the transition. Together, they mentor young programmers and host hackathons, fostering innovation in their community. Their partnership showcases the power of collaboration and mutual support in achieving success.",0
How did maya help,1
What makes app unique,1
Software engineers I know,0
Who is sarah Taylor,1
Tell how I know her,1
"I met Bobby Simpson in Dubai. He introduced me to Zakir Ali, who is starting a new business to cater to IT needs in South Asia.",1
Sarah Lee and I had a meeting for business development ideas and I showed application behaviour on different screens,0
"I met with Sarah Johnson and Sarah Taylor to review the progress of Sarah's new online store. Sarah Johnson shared her excitement about recent developments, while Sarah Taylor, with her ten years of experience, highlighted key areas for improvement. I contributed my perspective on customer feedback and analytics, leading to a productive discussion about enhancing the user experience and boosting sales.",0
Graphic Designer I know,0
Mexicali Cantina is the restaurant in Natick where Derek Hatchett and I have met a couple of times. It's really good.,0
"I met with Sarah Johnson and Sarah Taylor to review the progress of Sarah's new online store. Sarah Johnson shared her excitement about recent developments, while Sarah Taylor, with her ten years of experience, highlighted key areas for improvement. I contributed my perspective on customer feedback and analytics, leading to a productive discussion about enhancing the user experience and boosting sales.",0
"I met with Sarah Johnson and Sarah Taylor to review the progress of Sarah's new online store. Sarah Johnson shared her excitement about recent developments, while Sarah Taylor, with her 10 years of experience, highlighted key areas for improvement. I contributed my perspective on customer feedback and analytics, leading to a productive discussion on enhancing the user experience and boosting sales. Thank you.",0
Waseem Raza is my classfellow. he is working in Nadra,0
"Faheem Abbas is a school teacher, he was my classfellow during my graduation.",0
Ehsan Waris is a software engineer. We have worked in same company for 4 years,0
List my class fellows,1
Please check stories again this is incorrect,1
Please list my class fellows,1
Tell me who is working in Nadra,1
Tell Me about waseem Raza,1
Tell me about Sara Lee.,1
"At the Tech Summit in San Francisco, I attended a Tech Summit in San Francisco where Alex Johnson and Maria Lopez were also present. Alex Johnson mentioned that he's on the lookout for a marketing strategist, while Maria Lopez introduced us to Jordan, a marketing strategist with a background in leading tech startups.",0
"I met with Sarah Patel and Sarah Moore to review the progress of Sarah's new online store. Sarah Patel shared her excitement about recent developments, while Sarah Moore, with her 10 years of experience, highlighted key areas for improvement. I contributed my perspective on customer feedback and analytics, leading to a productive discussion on enhancing the user experience and boosting sales.",0
"I met with Lisa Blue and Lisa Red to evaluate Lisa's new fashion line. Lisa Blue shared her enthusiasm about the latest designs, while Lisa Red, with her years of industry knowledge, pinpointed areas for refinement. I contributed ideas on market trends and customer reviews, resulting in an insightful discussion on improving product appeal and increasing sales.",0
"I met with Sarah Patel and Sarah Moore to review the progress of Sarah's new online store. Sarah Patel shared her excitement about recent developments, while Sarah Moore, with her 10 years of experience, highlighted key areas for improvement. I contributed my perspective on customer feedback and analytics, leading to a productive discussion on enhancing the user experience and boosting sales.",0
Tell me about Lisa Blue.,1
"I met with Emma Brown and Emma White to discuss Emma's new fitness program. Emma Brown expressed her excitement about client feedback, while Emma White, with her decade of experience, emphasized refining the workout routines. I shared my thoughts on marketing strategies, resulting in a valuable conversation on attracting more clients and boosting program visibility.",0
"I met with Emma Brown and Emma White to discuss Emma's new fitness program. Emma Brown expressed her excitement about client feedback, while Emma White, with her decade of experience, emphasized refining the workout routines. I shared my thoughts on marketing strategies, resulting in a valuable conversation on attracting more clients and boosting program",0
Software engineer who worked with me for 4 years,1
Software engineer I worked for 4 years,1
tell me about the software engineer I worked with for four years?,1
Give me details of engineer I know,1
Who can help me for software integration,1
"I was introduced to Gregory Jenkins, who runs a hedge fund out of Newport, Rhode Island, named GJ Funds. We were introduced by Heather Perry, who is my former co-worker at fintech company SmartLoans.",0
Do I know any school teacher,1
Any school teacher I know?,1
Who is working in Nadra,1
"I met with Chris Blue and Chris Green to evaluate Chris's new educational platform. Chris Blue shared his enthusiasm about recent course enrollments, while Chris Green, with his extensive background, highlighted areas for curriculum enhancement. I offered insights on student feedback and engagement metrics, sparking a valuable discussion on improving the platform's content and user experience.",0
Anyone I know who is working in Nadra?,1
"Anyone who knows, I know who is working in Nadra.",1
what details do i know about andy roberts?,1
who did i meet on the Danube river cruise,1
You,0
Zafar ali khan new business,0
"I talked to my cousin Julia Ward on Saturday. Her boyfriend, his name, Mark Patterson they’ve been dating for three months. He works for clothing company, Orvis doing color matching of their product photos for online use.",0
This is a test story to check if it crashes on delete.,0
Where does Gregory Jenkins work?,1
Where does Julia Ward's boyfriend work?,1
Create a corporal contact named Lisa Blue. Her email address is lisablue at gmail dot com.,0
I have a new contact named Lisa Blue. Her email address is lisablue at gmail dot com.,0
I met a new contact named Lisa Blue. She works in customer service at Facebook. I met her through Gregory Jenkins.,0
"I met with Kevin Adams and Kevin Davis to review Kevin's new restaurant. Kevin Adams expressed excitement about the positive review, while Kevin Davis, with his culinary expertise, identified potential menu improvements. I contributed ideas on customer feedback and marketing strategies, leading to a constructive dialogue on refining the menu and increasing customer satisfaction.",0
"I met with Kevin Adams and Kevin Davis to review Kevin's new restaurant. Kevin Adams shared his excitement about the positive reviews, while Kevin Davis, with his culinary expertise, identified potential menu improvements. I contributed ideas on customer feedback and marketing strategies, leading to a constructive dialogue on refining the menu and increasing customer satisfaction.",0
Kevin Adams guided me how to play tennis.,0
This is a story that exists only to be deleted.,0
Share details about my lunch meeting on Friday?,1
"Diane Cooper is Gregory Jenkins' admin assistant. She's going to contact me to set up a Zoom with Gregory Jenkins on August 5th, 2024.",0
Who is looking for a job?,1
Justin Johnson got a job at VP Technology at Ansel Insurance. Ansel Insurance was formerly Brella Insurance and is run by Veer Gidwaney.,0
are you sure about Justin?,1
justin got a job at Ansel,0
is justin looking for a job?,1
"I met with James Vance and Mike Atherton to review James' new sports academy. James shared his excitement about recent enrollments, while Mike, with his extensive experience, highlighted areas for curriculum improvement. I contributed insights on student feedback and community outreach, leading to a productive discussion on enhancing the training programs and increasing participation.",0
who are ux designers in my network,1
What is Sandeep good for?,1
"I just met with Dan Berger at the Medfield Griddle. I was connected to him from Rob Hallion from YPO. Rob's wife, I think, was a maid of honor at Dan Berger's wedding. Dan's wife went to HBS and was obviously very connected through there and knew Rob's wife from there as well, I think. Dan also knows a guy who has a box company. ...boxes for things like Tideless golf balls and stuff like that. Dan is the founder of Golf Mind and Body, which is a really cool app for fitness around golf.",1
who is guy in needham who built the golf software app,1
This is a test story!,0
Can you schedule meetings on my calendar?,1
What tasks or actions are you capable of helping me with?,1
Which of my contacts are likely to be most influential?,2
How many contacts do I have synced?,1
Who is Marlose?,1
What other personal data do you have access to?,1
